loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,is_default
1000,1000,1000.0, 36 months,23.4,38.92,E,E1,HR Director ,3 years,RENT,60000.0,Source Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,435xx,OH,20.78,0,Sep-2007,0,4,0,13326,72.8,38,f,0.0,0.0,1022.649016,1022.65,1000.0,22.65,0.0,0.0,0.0,Feb-2019,1024.6,Feb-2019,0,1,Individual,0,0,167564,1,2,1,2,0.0,154238,97.0,0,0,7688,85.0,18300,0,3,1,2,41891.0,4974.0,72.8,0,0,135.0,131,61,0,0,62.0,0.0,1,2,2,2,7,28,2,10,2,4,0.0,0,0,1,97.3,50.0,0,0,156105,167564,18300,137805,N,Cash,N,0
15000,15000,15000.0, 36 months,7.56,467.01,A,A3,Cabinet maker,10+ years,MORTGAGE,200000.0,Not Verified,Dec-2018,Fully Paid,n,house,Home buying,836xx,ID,2.62,0,Feb-2006,0,7,0,19386,39.2,45,w,0.0,0.0,15063.0,15063.0,15000.0,63.0,0.0,0.0,0.0,Jan-2019,15072.45,Jan-2019,0,1,Individual,0,0,175731,2,0,1,1,12.0,0,75.0,2,2,10054,39.0,49500,1,16,3,3,25104.0,23085.0,43.7,0,0,152.0,154,0,0,3,2.0,11.0,1,3,5,3,10,21,6,21,5,7,0.0,0,0,3,97.8,0.0,0,0,241487,19386,41000,0,N,Cash,N,0
8000,8000,8000.0, 36 months,7.56,249.08,A,A3,Associate Research Fellow,10+ years,MORTGAGE,250000.0,Not Verified,Dec-2018,Fully Paid,n,other,Other,920xx,CA,20.1,0,Jan-1987,0,17,0,133414,61.2,29,w,0.0,0.0,8053.551386,8053.55,8000.0,53.55,0.0,0.0,0.0,Feb-2019,8058.59,Feb-2019,0,1,Individual,0,0,839055,1,2,0,2,18.0,69628,75.0,1,3,63926,61.0,181100,3,4,2,6,49356.0,40847.0,63.5,0,0,126.0,383,11,5,4,11.0,7.0,0,7,8,10,11,11,13,14,8,17,0.0,0,0,2,100.0,60.0,0,0,950005,203042,174100,103095,N,Cash,N,0
5000,5000,5000.0, 36 months,7.56,155.67,A,A3,Supply chain management ,5 years,MORTGAGE,98000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,775xx,TX,14.78,0,Mar-2008,0,6,0,10190,55.1,13,w,0.0,0.0,5013.65,5013.65,5000.0,13.65,0.0,0.0,0.0,Jan-2019,5016.8,Feb-2019,0,1,Individual,0,0,50831,1,3,1,3,2.0,40641,83.0,0,1,3595,76.0,18500,3,3,0,4,8472.0,3905.0,47.9,0,0,129.0,127,22,2,2,54.0,18.0,1,1,2,1,1,7,3,4,2,6,0.0,0,0,1,92.3,0.0,0,0,67363,50831,7500,48863,N,Cash,N,0
12950,12950,12950.0, 36 months,7.56,403.19,A,A3,Teacher,10+ years,MORTGAGE,55000.0,Source Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,850xx,AZ,19.88,0,Dec-2005,1,15,0,2160,5.0,24,w,0.0,0.0,13020.7055,13020.71,12950.0,70.71,0.0,0.0,0.0,Feb-2019,13028.87,Jan-2019,0,1,Individual,0,0,229904,1,2,1,2,5.0,33426,87.0,0,3,677,44.0,42800,1,4,3,5,15327.0,28707.0,5.3,0,0,132.0,156,13,5,2,27.0,3.0,0,5,8,6,7,7,12,15,8,15,0.0,0,0,1,100.0,0.0,0,0,284545,35586,30300,38398,N,Cash,N,0
10450,10450,10450.0, 60 months,12.98,237.67,B,B5,Office Assistant 1,10+ years,MORTGAGE,58000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,145xx,NY,21.17,0,May-2003,1,20,0,8956,18.3,40,w,0.0,0.0,10573.6669265171,10573.67,10450.0,123.67,0.0,0.0,0.0,Jan-2019,10584.97,Feb-2019,0,1,Individual,0,0,197095,2,2,1,1,4.0,27228,82.0,2,7,3636,42.0,49000,1,0,5,9,9855.0,21202.0,18.8,0,0,128.0,187,3,3,5,17.0,0.0,0,4,10,4,10,3,15,31,10,20,0.0,0,0,3,100.0,0.0,0,0,262550,40411,26100,33096,N,Cash,N,0
20000,20000,20000.0, 60 months,26.31,602.49,E,E4,Deputy,4 years,MORTGAGE,58000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,712xx,LA,22.66,0,Jun-2005,0,5,0,11580,84.5,19,w,0.0,0.0,20306.9500000008,20306.95,20000.0,306.95,0.0,0.0,0.0,Jan-2019,20350.8,Jan-2019,0,1,Joint App,0,0,233104,0,2,0,0,37.0,40345,139.0,1,1,11580,111.0,13700,0,3,2,2,46621.0,120.0,99.0,0,0,136.0,162,8,8,3,8.0,4.0,0,1,1,1,2,10,2,6,1,5,0.0,0,0,1,100.0,100.0,0,0,247335,51925,11700,49135,N,Cash,N,0
10000,10000,10000.0, 60 months,12.98,227.43,B,B5,kitchen and bath designer,1 year,MORTGAGE,60000.0,Not Verified,Dec-2018,Fully Paid,n,car,Car financing,028xx,RI,12.25,1,Aug-1995,1,23,0,15927,21.8,40,w,0.0,0.0,10072.1077777788,10072.11,10000.0,72.11,0.0,0.0,0.0,Jan-2019,10082.93,Feb-2019,0,1,Individual,0,0,157586,1,2,0,1,23.0,7069,39.0,1,2,8703,23.0,73200,1,1,1,3,6852.0,40231.0,23.1,0,0,159.0,159,1,1,1,1.0,4.0,0,4,6,10,15,4,19,34,6,23,0.0,0,0,1,95.0,10.0,0,0,250852,23216,52300,18367,N,Cash,N,0
29050,29050,29050.0, 36 months,10.33,941.87,B,B1,Executive Casino Host,< 1 year,MORTGAGE,68000.0,Source Verified,Dec-2018,Fully Paid,n,home_improvement,Home improvement,605xx,IL,23.65,0,Jan-2009,0,17,0,2252,3.1,35,w,0.0,0.0,29275.062083333,29275.06,29050.0,225.06,0.0,0.0,0.0,Feb-2019,29300.07,Jan-2019,0,1,Individual,0,0,227183,3,3,0,1,16.0,18531,39.0,4,5,1463,17.0,72600,1,0,2,7,13364.0,68267.0,3.0,0,0,114.0,119,3,1,2,3.0,3.0,0,3,4,10,17,8,12,25,4,17,0.0,0,0,5,97.1,0.0,0,0,326611,20783,70400,47611,N,DirectPay,N,0
1000,1000,1000.0, 36 months,13.56,33.97,C,C1,Customer service ,1 year,RENT,42140.0,Source Verified,Dec-2018,Fully Paid,n,moving,Moving and relocation,370xx,TN,24.18,0,Mar-2003,2,7,0,398,5.8,14,f,0.0,0.0,1007.5333333357,1007.53,1000.0,7.53,0.0,0.0,0.0,Jan-2019,1008.66,Feb-2019,0,1,Individual,0,0,43629,0,3,1,2,9.0,43231,88.0,0,1,327,78.0,6900,5,1,5,3,6233.0,1173.0,21.8,0,0,189.0,83,23,9,0,31.0,0.0,3,1,2,1,1,10,4,4,2,7,0.0,0,0,1,71.4,0.0,0,0,56274,43629,1500,49374,N,Cash,N,0
3500,3500,3500.0, 36 months,18.94,128.19,D,D2,District Manager,10+ years,MORTGAGE,127300.0,Verified,Dec-2018,Fully Paid,n,small_business,Business,898xx,NV,17.91,2,Sep-2001,2,8,0,17597,50.0,30,w,0.0,0.0,3571.3577861894,3571.36,3500.0,71.36,0.0,0.0,0.0,Feb-2019,3576.88,Jan-2019,0,1,Individual,0,0,239730,2,3,1,2,4.0,83174,82.0,1,3,10616,50.0,35300,0,0,1,5,29966.0,11333.0,49.0,0,0,158.0,207,3,3,2,15.0,3.0,0,3,4,13,15,9,4,19,4,8,0.0,0,0,2,93.0,0.0,0,0,291347,102812,34000,101022,N,Cash,N,0
10000,10000,10000.0, 36 months,11.8,331.19,B,B4,Director of Maintenance ,1 year,RENT,100000.0,Source Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,600xx,IL,10.6,1,Jun-1982,1,10,0,1229,17.3,21,w,0.0,0.0,10148.8729254647,10148.87,10000.0,148.87,0.0,0.0,0.0,Jan-2019,10158.7,Feb-2019,0,1,Individual,0,0,23547,1,3,1,2,12.0,22318,48.0,1,2,963,44.0,45100,1,0,3,4,2616.0,40871.0,30.0,1,0,75.0,438,0,0,0,0.0,0.0,7,2,2,5,11,4,7,16,2,10,0.0,0,1,2,61.9,0.0,0,0,91319,23547,42100,46219,N,Cash,N,0
10000,10000,10000.0, 36 months,8.19,314.25,A,A4,Teacher and Coach,8 years,MORTGAGE,65000.0,Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,750xx,TX,19.87,0,Feb-2002,0,7,0,7337,34.0,44,w,0.0,0.0,10014.285491225,10014.29,10000.0,14.29,0.0,0.0,0.0,Jan-2019,10021.11,Jan-2019,0,1,Individual,0,0,36228,1,2,2,2,4.0,28891,90.0,0,1,2965,67.0,21600,1,3,2,3,5175.0,14263.0,34.0,0,0,196.0,202,13,4,2,13.0,4.0,6,4,4,5,18,19,5,22,4,7,0.0,0,0,2,86.4,60.0,0,0,53766,36228,21600,32166,N,Cash,N,0
9500,9500,9500.0, 36 months,8.19,298.53,A,A4,Table Games Dealer ,5 years,RENT,50000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,551xx,MN,11.43,0,Dec-2005,0,7,0,5126,32.0,11,w,0.0,0.0,9502.84579375,9502.85,9500.0,2.85,0.0,0.0,0.0,Jan-2019,9509.33,Jan-2019,0,1,Individual,0,0,9112,0,2,0,2,14.0,3986,60.0,1,2,4795,40.0,16000,2,0,1,4,1302.0,6505.0,42.4,0,0,16.0,156,12,12,0,100.0,12.0,1,1,2,1,2,2,5,9,2,7,0.0,0,0,1,90.9,0.0,0,0,22700,9112,11300,6700,N,Cash,N,0
6000,6000,6000.0, 36 months,10.72,195.64,B,B2,Unknown,Unknown,MORTGAGE,65520.0,Not Verified,Dec-2018,Fully Paid,n,vacation,Vacation,871xx,NM,13.37,0,Mar-2002,1,7,0,5322,21.4,18,w,0.0,0.0,6035.7333333341,6035.73,6000.0,35.73,0.0,0.0,0.0,Jan-2019,6041.09,Feb-2019,0,1,Individual,0,0,22225,1,2,1,1,5.0,16903,73.0,0,2,2545,46.0,24900,1,2,6,3,3175.0,9678.0,35.5,0,0,201.0,128,21,5,0,21.0,3.0,0,3,3,3,5,9,5,9,3,7,0.0,0,0,1,100.0,0.0,0,0,47959,22225,15000,23059,N,Cash,N,0
28000,28000,28000.0, 36 months,15.02,970.91,C,C3,Unknown,Unknown,RENT,58000.0,Source Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,913xx,CA,10.74,0,Aug-2014,0,19,0,9877,15.1,24,w,0.0,0.0,28486.7670588045,28486.77,28000.0,486.77,0.0,0.0,0.0,Feb-2019,28521.82,Feb-2019,0,1,Individual,0,0,13353,2,1,1,2,11.0,3476,31.0,4,6,6123,17.0,65400,4,1,3,9,703.0,46923.0,17.4,0,0,49.0,52,1,1,0,1.0,8.0,0,8,8,14,14,5,17,18,8,19,0.0,0,0,6,100.0,7.1,0,0,78575,13353,56800,11377,N,Cash,N,0
9000,9000,9000.0, 36 months,11.8,298.07,B,B4,Unknown,Unknown,OWN,45000.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,077xx,NJ,14.47,0,Jun-2005,2,29,0,2890,2.5,56,w,0.0,0.0,9041.3,9041.3,9000.0,41.3,0.0,0.0,0.0,Jan-2019,9050.15,Feb-2019,0,1,Individual,0,0,31261,3,2,2,4,1.0,28121,92.0,5,13,931,22.0,128900,2,0,2,18,1116.0,109256.0,2.5,0,0,98.0,162,1,1,0,1.0,1.0,0,4,8,17,31,11,26,44,8,28,0.0,0,0,8,100.0,0.0,0,0,159714,31261,111700,30564,N,Cash,N,0
6000,6000,6000.0, 36 months,12.98,202.11,B,B5,QUALITY ASSURANCE,10+ years,RENT,67000.0,Source Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,801xx,CO,15.92,0,Jan-2007,0,6,0,5224,98.6,8,f,0.0,0.0,6054.0833336132,6054.08,6000.0,54.08,0.0,0.0,0.0,Jan-2019,6060.57,Jan-2019,0,1,Joint App,0,0,314927,0,2,0,1,16.0,20725,56.0,0,0,1571,61.0,5300,0,0,0,1,52488.0,151.0,93.4,0,0,54.0,31,30,16,3,30.0,5.0,0,2,3,2,2,2,3,3,3,6,0.0,0,0,0,75.0,100.0,0,0,342113,25949,2300,37063,N,Cash,N,0
10000,10000,10000.0, 36 months,10.72,326.07,B,B2,Mobile Expert,5 years,RENT,45000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,958xx,CA,14.96,0,Dec-2014,0,13,0,3453,12.2,17,f,0.0,0.0,10003.8744444446,10003.87,10000.0,3.87,0.0,0.0,0.0,Jan-2019,10012.8,Jan-2019,0,1,Individual,0,0,15271,2,2,0,3,15.0,11818,63.0,3,6,2483,32.0,28200,2,2,0,9,1175.0,19047.0,15.3,0,0,42.0,48,1,1,0,1.0,15.0,0,2,2,7,8,5,11,12,2,13,0.0,0,0,3,100.0,14.3,0,0,47077,15271,22500,18877,N,Cash,N,0
9000,9000,9000.0, 36 months,18.94,329.64,D,D2,Customer Advocate,5 years,MORTGAGE,47000.0,Source Verified,Dec-2018,Fully Paid,n,medical,Medical expenses,871xx,NM,15.34,0,Mar-2001,0,13,1,8991,30.4,28,f,0.0,0.0,9105.5955006323,9105.6,9000.0,105.6,0.0,0.0,0.0,Jan-2019,9119.8,Jan-2019,1,1,Individual,0,853,9468,1,1,0,0,33.0,477,6.0,3,6,866,25.0,29600,0,2,4,6,789.0,6137.0,18.2,0,0,188.0,213,5,5,2,5.0,0.0,0,2,9,3,8,3,12,23,9,12,0.0,0,0,3,100.0,33.3,1,0,37782,9468,7500,8182,N,Cash,N,0
10000,10000,10000.0, 36 months,8.81,317.12,A,A5,Verizon Engineer,< 1 year,MORTGAGE,143600.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,232xx,VA,17.17,0,Dec-1999,1,10,0,5660,15.8,25,f,0.0,0.0,10003.3298888886,10003.33,10000.0,3.33,0.0,0.0,0.0,Jan-2019,10010.67,Jan-2019,0,1,Individual,0,0,257595,1,3,1,3,7.0,54933,66.0,2,2,2298,42.0,35800,2,2,4,5,25760.0,5402.0,29.8,0,0,132.0,228,4,4,2,4.0,0.0,0,1,3,2,2,14,6,9,3,10,0.0,0,0,3,100.0,0.0,0,0,297034,60593,7700,76284,N,Cash,N,0
5000,5000,5000.0, 36 months,8.81,158.56,A,A5,Dietary Supervisor ,10+ years,RENT,42000.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,272xx,NC,14.17,0,Apr-1995,0,3,0,2465,19.7,22,f,0.0,0.0,5055.7203680433,5055.72,5000.0,55.72,0.0,0.0,0.0,Feb-2019,5059.39,Feb-2019,0,1,Individual,0,0,17124,0,2,1,2,7.0,14659,84.0,1,1,2465,57.0,12500,2,0,1,3,5708.0,10035.0,19.7,0,0,187.0,284,7,7,0,51.0,7.0,0,1,1,1,11,7,1,15,1,3,0.0,0,0,2,100.0,0.0,0,0,30000,17124,12500,17500,N,Cash,N,0
10000,10000,10000.0, 36 months,14.47,344.07,C,C2,operator ,10+ years,RENT,80000.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,605xx,IL,7.5,0,Nov-2010,2,10,1,4950,16.4,23,f,0.0,0.0,10005.4647777778,10005.46,10000.0,5.46,0.0,0.0,0.0,Jan-2019,10017.52,Feb-2019,0,1,Individual,0,807,11581,1,1,1,2,3.0,6631,93.0,1,3,2610,31.0,30200,1,10,6,5,1158.0,11896.0,22.8,0,0,97.0,75,9,3,0,13.0,2.0,0,3,9,3,5,11,9,12,9,10,0.0,0,0,2,95.5,33.3,1,0,37317,11581,15400,7117,N,Cash,N,0
2500,2500,2500.0, 36 months,18.94,91.57,D,D2,Claims manager ,10+ years,MORTGAGE,95000.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,751xx,TX,17.34,0,Dec-2002,0,15,0,6438,31.0,23,f,0.0,0.0,2562.5534196033,2562.55,2500.0,62.55,0.0,0.0,0.0,Feb-2019,2566.5,Feb-2019,0,1,Individual,0,808,80506,2,2,1,2,6.0,72568,75.0,4,5,4636,36.0,20800,2,0,3,8,5367.0,7316.0,39.0,0,0,121.0,157,0,0,1,0.0,3.0,1,3,6,5,5,8,12,13,6,15,0.0,0,0,6,69.6,0.0,0,0,121682,80506,12000,99382,N,Cash,N,0
24000,24000,24000.0, 60 months,11.8,531.45,B,B4,Electric Systems Associate ,10+ years,RENT,57948.0,Source Verified,Dec-2018,Fully Paid,n,major_purchase,Major purchase,320xx,FL,23.98,0,Jul-2004,0,18,1,18806,36.2,29,w,0.0,0.0,24010.6986666668,24010.7,24000.0,10.7,0.0,0.0,0.0,Jan-2019,24034.3,Jan-2019,0,1,Individual,0,0,39295,0,2,0,1,23.0,20489,54.0,1,5,7916,44.0,52000,0,6,3,6,2183.0,10153.0,46.0,0,0,121.0,173,7,7,0,7.0,6.0,0,3,8,5,6,5,16,24,8,18,0.0,0,0,1,100.0,20.0,1,0,89943,39295,18800,37943,N,Cash,N,0
